,predictions,target
0,1.0,1
1,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,0.0,1
12,0.0,0
13,1.0,1
14,0.0,1
15,0.0,0
16,0.0,1
17,0.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,0.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,1.0,0
39,1.0,1
40,1.0,1
41,0.0,1
42,1.0,1
43,0.0,0
44,0.0,0
45,0.0,0
46,1.0,0
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,0.0,0
59,0.0,0
60,0.0,1
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,0.0,0
70,0.0,1
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,0.0,0
77,0.0,0
78,0.0,0
79,0.0,0
80,1.0,0
81,0.0,0
82,0.0,0
83,0.0,0
84,1.0,1
85,1.0,1
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,0
106,1.0,0
107,1.0,0
108,1.0,0
109,1.0,0
110,1.0,0
111,1.0,1
112,1.0,1
113,1.0,1
114,1.0,1
115,1.0,1
116,1.0,1
117,1.0,1
118,1.0,1
119,1.0,1
120,1.0,1
121,1.0,1
122,1.0,1
123,1.0,0
124,0.0,0
125,0.0,0
126,1.0,0
127,1.0,0
128,0.0,0
129,1.0,1
130,1.0,0
131,1.0,1
132,1.0,1
133,1.0,0
134,1.0,1
135,0.0,0
136,1.0,0
137,0.0,0
138,0.0,0
139,0.0,0
140,1.0,0
141,1.0,1
142,1.0,1
143,1.0,1
144,1.0,1
145,1.0,1
146,1.0,1
147,1.0,1
148,1.0,1
149,1.0,1
150,1.0,1
151,1.0,1
152,1.0,0
153,0.0,0
154,0.0,0
155,0.0,0
156,0.0,0
157,0.0,0
158,0.0,0
159,1.0,0
160,1.0,1
161,1.0,1
162,1.0,1
163,1.0,1
164,1.0,1
165,1.0,1
166,1.0,1
167,1.0,1
168,0.0,0
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,0
173,1.0,0
174,1.0,0
175,1.0,0
176,1.0,0
177,1.0,1
178,0.0,0
179,1.0,1
180,1.0,1
181,1.0,1
182,1.0,1
183,0.0,0
184,0.0,0
185,0.0,0
186,1.0,1
187,1.0,0
188,1.0,1
